"HolderAddress","Balance","PendingBalanceUpdate"
"0x541c19b19f1be2c1a59e2c54e2a53c8acedac71d","60,000","No"
"0x63f56280270a3c035b10d756d48b953fd5c322ac","59,000","No"
"0xb8d7577ff7a8cca72b7dd1f83aea1beb2d087f07","58,045","No"
"0x04ee22568b4abbff87a6827bc4f801b81d99146b","58,000","No"
"0x52057f4c9cc6223f9cd048b899b1b4fd4f853e87","57,860.907433","No"
"0x546118510e9617d1cda7baaf2002e641fa173b44","57,110","No"
"0x34396facd86364b37a3213a2f50a6ccc32fd4783","56,703","No"
"0x8a0d0ec70bf4c8f61c65d2af7e8135ad811b435a","56,045","No"
"0xb7409219a06c569a523a015f71b15665880639d0","54,574.965144171244899125","No"
"0x321c33846760ac3f7db91ad3e318a6ffa298b0ff","54,000","No"
"0xfe9eca8ac1f58ed7a6c6ba6e9ec2eccc7e5bebe0","54,000","No"
"0xfd396a11399d38a8c3eb19f74fe27f3f05f8b031","53,066","No"
"0x6c318ff289b67fe1f2c700f4f55c034c40d05a81","53,000","No"
"0x58b6218d165019d59dca6a543e5c7763f57681d5","51,113.372667456443971039","No"
"0x6a44ea17a4e928afab2b8b74dab4f4e837ae6ea7","51,000","No"
"0xc54818e8fed5c58da1e39d29026612768311b5b9","50,695.02751502963423311","No"
"0xc85238cfb90f275e089769bc83d0f25d0ba22468","50,275","No"
"0xd35dc720a877bd46da40f7cdf512e2845a310c2b","50,000","No"
"0x73c759d6b7bff25b437a300c6e6ba8de5d469b00","50,000","No"
"0x1947706ffb1ff7e5c4da85f992e04081b1045e1d","50,000","No"
"0x385cf024ae9f563c60412c154b4fe212567aff18","50,000","No"
"0xedd9d0c8131889c420f6787b32de397d3a58ec2d","50,000","No"
"0x055695e79ffb5fe4e307f16f4559798186c7a20f","50,000","No"
"0x7924c184badc4dfb01659c23865fd8e90fa1c43a","49,000","No"
"0x4fe22a424617cd05e73b0c3e47df65563dea03c1","47,609.561428453820245358","No"
"0x0cda60daa42a30a1588aa4f967f91ec5f3182b68","47,000","No"
"0x95ca2b0eb9dc25d3317f0acf25a48834fa2a5a23","45,833","No"
"0xccfd14c33a60800b5fa8c8edd78a3aaff12f87fe","45,500","No"
"0x9bd0033180147f7eee9de754afffe135c34dd009","45,267.704335285858084302","No"
"0x2a77498ec70a72a94c7e3e6074837b8ab19fc41e","45,092","No"
"0x3fa762d44eb3f9bfdead99e6864bd5d76e3c6902","45,000","No"
"0x98637fc89fc96c0ceab06e1eed05bd19eac8abb0","44,286","No"
"0x448dea547923ea1302b343045625930c8b7c7fa0","44,000","No"
"0xdff5056e13edd8a03c337fc993e097ed438067bc","44,000","No"
"0x8e26f7161be61e518ca68025e38aace8a8b8aaaa","43,999","No"
"0x2d88e57f9ffd166437af79b70a26960ec11930b3","43,096.001359151966","No"
"0x53a72c4a84005ba0031e900f097e706122fe550e","41,005","No"
"0x3f00f74c1d653f053c6bac5173d1cdb3abd3a5d6","40,211","No"
"0xd7debdeda7128cc9e629653a09ec63c44f5f659b","40,000","No"
"0x3145d8dd2bd2731477da8af48df4e644361063f7","38,000","No"
"0xf9f7b8f48a82b0ffb9d79c425555ec3075e0868f","37,973","No"
"0x55c3c535bc76b5be141e3c487d8a44b53f696cbd","36,900","No"
"0xef42c29274a22bead5dd19fa15ab4f2d09be67ef","36,000","No"
"0xfda2989aceab9e8b29a0f74fb23969078a9f97c3","35,832","No"
"0xff193c70b2f30c02f858c6df69d8545d7949fed4","35,000","No"
"0x26692c09fd68885ea47b4687affb64cac79712e6","34,506","No"
"0x4ac74c343cb6aa524e7a8f5f9e181859811677e5","34,067.708629561384169931","No"
"0x67729237e63994d32a8825cf94cb5ba78880f1b8","34,000","No"
"0xb78973b16a4c9343189fea308e19f4218e2ec108","34,000","No"
"0xf08c8a69d5603ace7b8eddfac99f628d7ed23a2e","32,262.813086547271996836","No"
"0x950e5ab6b5ecd4a7fbf5bf9edddf35b9595c6cba","32,168.232505703106230196","No"
"0x6e6ea7b7dbf57248c5c98a282184bfedf6e2088c","32,000","No"
"0x8d3f4c4dedcfd8f80f2275ae1a973a23704073a1","32,000","No"
"0x9749c95a67af4799b10af1f01874f7583e49711c","32,000","No"
"0x85e7474c8d58674a6f493c752c515eca5635d000","31,784.435117695240180323","No"
"0x76918d13668eec2dea2bf482309f06a8df7f68a6","31,605","No"
"0xa5b689c18b5771c59678eb204e08dba5d1ff026b","31,069","No"
"0x0c23af622afb3f6fb926f8068f374862b7a16482","31,000","No"
"0xa7a083d4e27a9a38eaf36314c64121b0c09fdd80","31,000","No"
"0x199974460677707d70c575010d88d7a24676a0d1","31,000","No"
"0x3d6fd7eadff301cc4b92c69c098860b6cb6d6c6f","30,000","No"
"0xd93dc93b8180042c471d9fad944eced6a8351e91","30,000","No"
"0xc49d694472b4abb7039252ee50e370428c0eebc4","30,000","No"
"0x53526c375eb2fbdaaa62ad9dc3c730c9cf46bf5f","30,000","No"
"0x5e45a563d7f6fdd8ac37f7e55d244bbe13e0a44e","30,000","No"
"0x43d76ebbc2e88845c6d6c66086cb0b9b85214938","30,000","No"
"0xcb112217aca48a070ab4e9a86144fc628c34d094","30,000","No"
"0x6703eaa82c324bad02ba933e351479963186f4e5","30,000","No"
"0x5975ec3c60ad6391722fa5a7f8f9c15a3908d596","30,000","No"
"0xf3faa2df2b95283b6e67fddd87ed4981654637f3","30,000","No"
"0xfc735db1f52df9915ce8c2c24cc19d0755301611","29,000","No"
"0xb12da8f4bbccbf2c174ab7f54e23161f1621c9ba","29,000","No"
"0xccec506fd4c422039ebcb82be87f3a1b6950bfa1","28,000","No"
"0xc4a77c2cb0717112ba865bb7dcd06ebd01e26150","28,000","No"
"0x61a2adcc25d43ae07db7cffd02cfc33426ef3803","27,761.816136898409937697","No"
"0xd83a1192319e427be5cf75c54fa464478d30e773","27,157.426113758096665074","No"
"0x3574fedb064a4de55ebed4316fded106cd2dfbe5","27,000","No"
"0xfd65ef7d33d872406ac0f4c31d44d99c46b69b31","27,000","No"
"0x6e0d262ce9c6905cc9d75c05cfb5abf37b7aaf63","26,834","No"
"0xf67872232a49f8d34f9bf53ac6c074a6618916df","26,735.762161824890094121","No"
"0x89df3e8feacaaab6e2045eeedd1d237ee2848571","26,613","No"
"0x21bb93a72870f4d7b0c90bbb77c0c3b4d292f61e","26,000","No"
"0xe7ead5c02955a25d159d84320ce8571990537f7c","26,000","No"
"0x8dcc6a8c00be0d326fae966fb233836f5a9d1bad","26,000","No"
"0x677560d1eaa746ac5654680644829d35934585ad","26,000","No"
"0x2a4e00ce9eea9a493e5db576b10f922bffb2b94a","26,000","No"
"0xf4353aed9a6a2b7950a11e1cd1669cae45c65dab","25,710.100317341520857579","No"
"0x281b101af7876601988551bdb2e320bef0ae1052","25,373","No"
"0xcfa9a999cd43c372a218b7185c694f4640cfa834","24,993.453352407827941958","No"
"0x9acb1fb5d6b86f582a24bafa9962d7082856cb58","24,881.006511496891638139","No"
"0x9b584b913f97dd53709b9b68ab1a19bdbad0e1be","24,740","No"
"0x0f553b5ef7162f77cd012c534caf3add2df8448f","24,243.768039721265759726","No"
"0x709443a711e50738ebacc81b0dc02687abd0b402","24,000","No"
"0x5ecedac5f4a94c9f741dbcb654063b4543172fe3","24,000","No"
"0x09f6440a153d162454c7a5fad0890fdecf270455","23,725.675122259990621602","No"
"0x3c2638dd1f80de379287dc171c27f2b5e56fc533","23,125.430335931655120287","No"
"0x72592a76db02bb65006e68dc6b5cca7f72463c03","23,000","No"
"0xbaaede44f4cb246c247e07dffe6c4fbc1e976328","23,000","No"
"0xef06776d98e7210632d4336a8fc12b157ac353c1","23,000","No"
"0x025e78b38736b96292707989c3d9f8c780fa4656","23,000","No"
"0xa6a41e268f48e7017170d9ab661a52003586b3b8","22,999","No"
"0x12a43664c75af154667c99f7ef9c41f6d7e86826","22,419.594706085171542761","No"
"0x8935545c76dfe5cf32f3241f9293654299162c81","22,277","No"
"0xbc55d838bdcb1753188087d7262fa67fa6bd69c8","22,267.882274232887758501","No"
"0x0083aaa0782f323970f9b5932978711f44e59163","22,000","No"
"0xfe50b89240545f4d14199b317596934bf674a4aa","22,000","No"
"0x344ea404390748c52bf80df95ba3616be3339dd4","22,000","No"
"0x1ea830fedd1342450fca0ee79128b46b1e394c50","21,996","No"
"0xbe31d9dac650d4b25ed1155c41621a19644d183f","21,513.249793027433039261","No"
"0x2c2d5b27a5ddce91f08fbf4b3ecdf57fb45deea7","21,272","No"
"0x2b2a024156a8a4c43bf7cc8305c2e65cc6b5a493","21,000","No"
"0xfd563cfd0a32e9e2c0178223a6f223fdd8d2c303","21,000","No"
"0x4c1ce716df9e0d4521113a1620984fcda5a60050","21,000","No"
"0xba25c9b4750ae60f25cc34f9013a8d6d4b6d2ad9","21,000","No"
"0x5c5e617625b788d100ed135eb725b2c1dddae932","21,000","No"
"0x9a3b9c3887a56f4ebe34b356028261eb0bee223c","21,000","No"
"0xe88fa2f60afbb4fc32724387a3cbfb5f38d7dfa6","21,000","No"
"0x94852b193defd94465241d2354609716ee2a934d","21,000","No"
"0x813fff21e032a5fa894a3c92fd0907de61df02f3","20,930.850996630519267413","No"
"0xc2d189948c0757c44babf9c92b6ba90672383009","20,797.028674736400767662","No"
"0xc3dd5d2e9362e8e49f73b726632eb3d4aae8a5ba","20,714","No"
"0x7bcd12ff63887afb620124ffd57e67f673946e03","20,224.532587913279516563","No"
"0x0a12100fea75c49d33df61de364a354db5e4bdbc","20,086.561225874187521264","No"
"0xc5b64346fe972a437f4874c78ded99c8d906b07f","20,010","No"
"0x095a04d155f48f56678dde308a4e4dfe3dbc7d8f","20,000","No"
"0xe76b1e33e2f3903d6327e0db012804217dbddf01","20,000","No"
"0xda2334d086804edc61d3de54631cda747b632fa2","20,000","No"
"0x3b4868900a99b8693065ae77b36d54491231819b","20,000","No"
"0x5e81cb921778217402e6203aaf7c5aae4bcdbb7d","20,000","No"
"0x00ed3fa9c29eb984291e6ac70b68955ff0a5a113","20,000","No"
"0xc4002104a4b721a685848b97494c11d1a8943dbd","20,000","No"
"0x4faa226b9b12cd704762d163da4cafd5682c0b68","20,000","No"
"0xe7d9710120f927b2df7bfe546369c8455ea56806","20,000","No"
"0xa8e6d1237886897417d59293a4c3f6e1506e12a3","20,000","No"
"0xbe3c57e59ca452f5122c3adb862f5245af1eae4d","20,000","No"
"0xcf12b8d48405a8841d7ff7adf7252037e62e3f8d","19,000","No"
"0x1826277786860692b6631cfc606753104161ac48","19,000","No"
"0xbb897ec3319906e398a6f00e262b8b110c5b0d63","19,000","No"
"0x729063fc5aa88a9ad2869737df3bb345b9fff136","18,900","No"
"0x4de31ad381d9527d1122917087df13d4890131dc","18,226.662571881230563938","No"
"0xdb515e19731a3c01bb1eeef74268ac2e06eb758d","18,000","No"
"0xa1e9a2487c347e03f70bfdf72137e85a67012959","18,000","No"
"0x58a981c5553cad4edf22190f4fb27314a490fb27","18,000","No"
"0xdbe81475984f45ce3348730620ca5a9e59e6d1cd","18,000","No"
"0xa46f70a7c73d4a0812ef2487c353cd446fd87d73","18,000","No"
"0xd604fec7a2f0cf4fd46e73e1c65160b77f3447b2","18,000","No"
"0xce2f9b5cfeabb6b80b476040fd1cde001b264083","18,000","No"
"0x26e5919661ea50850464276387ac8da834eeab57","17,941.38348678757727687","No"
"0x5b2485dc97e9474ed98a5b98c19538835adfba6b","17,377","No"
"0x297a1043d4adead3b4a8872746d9fd61c0154c69","17,282","No"
"0x715b6a150b957cd01f057ea4312d40aa8fced28f","17,276","No"
"0xb0c10f2b5f39ad49d55da6d3915c08c9197d3b38","17,251.204074143655725378","No"
"0xf1eff0329d3692c9a3cdd65bd69cf54329cdaff8","17,000","No"
"0x48429327c75afee736d6b4806bd55e88ae5453da","17,000","No"
"0xc01096583d836ca1bbe2827d8b7628d2dde0b46f","17,000","No"
"0xfa3b5f62373a4c75e43b6df6bf1c4324cd216cbe","17,000","No"
"0xec9a7aa0c7ce435a20b3c9d8f8402fc2d89cc6e7","17,000","No"
"0x7a30811848ac6bb127f08fa1cbe86cefb293e8de","17,000","No"
"0x25d4c6c95fb06ef31c6766f571b4232f1d39e316","17,000","No"
"0x45f995c6251906b0bbd2e127b1045e8c68151056","17,000","No"
"0xbe1c4a176a71f9f96ce30768f903bce437e0a844","17,000","No"
"0xb40c24d164d8e41f21eb17e0272fe317ae999544","16,998","No"
"0x332f3ed76eed6102f5620193c745b3d54c60bc72","16,797","No"
"0x824de9c3529671956512b414224f2c028041472e","16,505","No"
"0x3199aab325be4c3f94680bf55d0b2a34c5d71728","16,479.299435427879307866","No"
"0x02d551f2d008019325fc418724d21d336a375a2c","16,150.249952347261928154","No"
"0xa968a4bf360270f58f391cdd3f88e2d97efaf66c","16,150.051427082627086812","No"
"0xef5ec733f99fec8888913843c019ce5a7711111b","16,111.944888500506439049","No"
"0xeef2d313ec94eb9dbc1998637a1d413832facf0c","16,000","No"
"0xfc043fcac71e62069ef6bb7f844053f6df198f08","16,000","No"
"0xa2d8873aaea19040435dbd6493a1a5a8e59dedc0","16,000","No"
"0x2c689c0ec9d863245a88088edd2fad0c45b478c4","16,000","No"
"0x40463925db4367a5c10f31a9da24debf0f55035a","16,000","No"
"0x707c717f8638a8ff9892a49492f398e4b463afe9","16,000","No"
"0x316d4cebb55a72ae0e76739d8c6b2d7d254e2c45","16,000","No"
"0x60ba0b021738fc9cf1795e17a7803d24d415ba82","16,000","No"
"0x443f7a5e9a5ec40eb8ff9c47b803fb56ed5d9dbb","16,000","No"
"0x52905a5e83a83f6a9d0e64ad24e79a37512d35b9","16,000","No"
"0xac691bbf18670446d649eae440576f3fae8392c3","15,619.139803474082557489","No"
"0x2a726476ef6531c1a98a470d2974b681d12098fb","15,225.788089331759204768","No"
"0xfdb33190f811f931879fb408a22c670377033846","15,210","No"
"0xa0598887a31acb2c7698b6f47707f90987311fe6","15,004","No"
"0x4147c52202dccd175bad34e77ee12d2548bd3486","15,000","No"
"0x4a5df2875db19d316dc6478dec57d695ade45679","15,000","No"
"0xee7d9539e0afcae408f4f24759d40a11fc5f8984","15,000","No"
"0xe4500b42382bb10e45f9c24c1722990f8e267ad6","15,000","No"
"0xa04a5a649ca0efbb003505d7099caa45eb0517f1","15,000","No"
"0xc26a36a2db03a4082b135e57874c3d621231e1cf","15,000","No"
"0xf3b8dcebffb3de25c3d59c4c1263a271c05be366","15,000","No"
"0xfb46c1180eb7fe795a0713222df2feb281eb72a4","15,000","No"
"0x0c90b38e1bdc16b5a4d91aaa7c75cc43301f84d0","15,000","No"
"0x0dac7fc4823be8526cd79ca6fdcd5d9f2c732032","15,000","No"
"0x327c86581e15d6a72207e655216938ef10c78999","15,000","No"
"0xe50b97b7578454925b65c150e00935ab2866710e","15,000","No"
"0xe7de6f8984cdd37f36955015eef930bd25c5c105","14,769","No"
"0x1fe85cd62dede2ab48b72d0a71a6c74a173a1a15","14,452.621893359962657958","No"
"0x0e49ff0943a6107abe051fbf356794fbe73fc864","14,343","No"
"0x63b554b1b802f46727898d0281988722df18fab3","14,167.110331080583167267","No"
"0xe5971ffccbbb0f48fb75d75ec9f0f4bdfad3184a","14,152.580073823365954913","No"
"0x4e284680fd10dc424b435de3548f9cb1aeb880cf","14,000","No"
"0xac18554be093f4cc4d86ec996fc5ffa8ea14ab27","14,000","No"
"0xeef81bf1d3ad54921b960a3cda46951cc1acf932","14,000","No"
"0xc4bdfeb582a367ab2c0ce6ea38757e63139c30c4","14,000","No"
"0xf2fc25c0526d4f5016d429f971ba96cfd3dd6135","14,000","No"
"0x6b0d92141a41079b763442419e7d237a15d2431f","14,000","No"
"0x92298fd2259fd18be4de837b182ee80412c3aa43","14,000","No"
"0x24cab6449ffef7d051bc23482b98053abe721780","14,000","No"
"0x91dcef381318df238303e515e7b0a6cb17e2caa7","14,000","No"
"0xfafb3052a73cb51694af9606d00c5b2e44e72a5e","14,000","No"
"0xfc1708fe24383cc91c46f9ee360e61335ade5b1a","14,000","No"
"0x14352cc88c92e4dc16666092947367e11e51b0ac","13,962.650265583891122668","No"
"0x9ebe02a1ffd916be1eb2a453775f00cceb77294b","13,891","No"
"0x69a0008538d3151d79e444557c37f8b2736af375","13,500","No"
"0xf11f5d062f538c23e2acc23ec7e773798a05459f","13,473.441798729492613258","No"
"0xf2ac0cbff806d3878bb027038a3801e72160e648","13,343.305244026178316622","No"
"0xc2efa1c3162bb28dd35f82473b8e399bcd6cdf05","13,000","No"
"0xc2724e4e3ab5436ed195f5044aeaccf34ecbb42d","13,000","No"
"0xbd3beadc99603d00972f09385c83741e3c136353","13,000","No"
"0x5246783462db928fe85c39c2e3fca6d008ffceee","13,000","No"
"0x0f81369f0fc833d079291258e230860e52901ff7","13,000","No"
"0x567bbfe0298fed9bc48ca159dfbbd5e1b505adab","13,000","No"
"0x55ba022d176580d2265dd0b8e24f720485d846e2","13,000","No"
"0xd809a31da0be596d48d6496d8204c95fdf716a70","13,000","No"
"0x16f720d8bd6817598c755c1d99e56abeac8dd50f","13,000","No"
"0x83a4cf91d0ecea1f0c532e1d7704be9e500f9c81","12,990","No"
"0x64047a8f733bc24b89867122290103926742ddf3","12,750","No"
"0x4c61d9af188e183f05751cadd34a85fed3ce2273","12,431.16396046948448674","No"
"0x944925bbeecd3c3c76775903e10dd918bf89d6f9","12,416.172056073652247583","No"
"0x026d9419580c10fdbc0b4e587d154b4ded4c3865","12,350","No"
"0x06ac4a68024dfda0445384ba547cd603b92224a4","12,209","No"
"0x2415929541354df4f6d5fb198fd2ebd498484d5e","12,005.868046004360951879","No"
"0x0d6f34d544bfe66ec673d1b10ea04dc8692dc995","12,000","No"
"0x7592ca1ad468ddac5a97a5625c1c55e36338f786","12,000","No"
"0x8cda4bf57af66227d541b728759131bb8137a09c","12,000","No"
"0xeadc47fcbce1078a295e131f61330e310197e8d0","12,000","No"
"0x88fb0ae12749b70592d5e7e05e0d5e3af798f42f","12,000","No"
"0xfaaf7c27eb6f488423cbb5fc46dc7f8afe6d15b5","12,000","No"
"0xfeaf8e25cc2c0ae6b9b97d269528029294dfa41d","12,000","No"
"0x9a85650b98e01e2f49866219c8b20dafb2020529","12,000","No"
"0x29df90f7ba81f3a6ad9557c6fa3d140166e50878","12,000","No"
"0x6388da7be19abdf4e4952a1342ceb7b159362ae1","12,000","No"
"0xb6ba58ad02fb8cca47e27bbff56c357a4923f520","12,000","No"
"0xa6e09d75b39b9c29c651306809217267ebb57893","12,000","No"
"0xdb0a869f8318a20e81a5aaefd04b3d1aa3cea059","12,000","No"
"0x8300c2c28c4aac5c71242ab76a225b609d506837","12,000","No"
